host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
0,5,1,3,1.0,2.0,2.0,10,365,900,9.0,9.0,10.0,10.0,10.0,9.0,0,2
0,1,1,2,1.0,1.0,1.0,3,30,90,10.0,9.0,10.0,10.0,10.0,10.0,0,1
0,1,2,3,1.0,1.0,1.0,5,3,15,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,1,2,2,1.0,1.0,1.0,10,1,2,5.0,5.0,5.0,5.0,5.0,5.0,1,1
0,2,2,2,1.0,1.0,1.0,6,2,15,10.0,10.0,10.0,10.0,10.0,10.0,0,2
0,1,2,1,1.0,1.0,1.0,6,1,730,5.0,5.0,5.0,5.0,5.0,5.0,0,1
1,1,1,2,1.0,1.0,1.0,3,30,730,9.0,9.0,9.0,10.0,8.0,9.0,0,3
0,1,1,5,1.0,2.0,2.0,6,5,365,9.0,10.0,10.0,10.0,9.0,9.0,0,7
1,1,2,2,1.0,1.0,1.0,9,180,180,9.0,9.0,10.0,9.0,10.0,9.0,0,1
0,5,1,3,1.0,1.0,2.0,5,30,300,9.0,9.0,9.0,9.0,8.0,8.0,0,8
0,1,2,1,2.0,1.0,1.0,5,3,30,5.0,5.0,5.0,5.0,5.0,5.0,1,1
1,6,1,4,2.0,2.0,2.0,6,3,180,10.0,10.0,10.0,10.0,10.0,9.0,0,2
0,1,1,5,1.0,2.0,2.0,6,5,365,9.0,10.0,10.0,10.0,9.0,9.0,0,7
0,1,1,2,1.0,1.0,1.0,3,28,150,8.0,8.0,9.0,9.0,9.0,8.0,0,3
0,1,2,3,1.0,1.0,1.0,8,3,365,5.0,5.0,5.0,5.0,5.0,5.0,0,3
0,1,2,1,2.0,2.0,2.0,4,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
0,1,1,3,1.0,1.0,2.0,3,5,786,9.0,7.0,9.0,9.0,9.0,8.0,0,2
0,1,1,6,2.0,3.0,4.0,10,3,730,10.0,10.0,10.0,10.0,10.0,10.0,0,9
0,1,2,2,2.0,1.0,1.0,3,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,0,1
